top: failed tty get
   PID TTY          TIME CMD
247370 ?        00:00:00 slurm_script
247373 ?        00:00:00 ps
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 191448  4412 ?        Ss   Nov22   0:20 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root        211  0.0  0.0      0     0 ?        SN   Nov22   0:00 [ksmd]
root        212  0.0  0.0      0     0 ?        SN   Nov22   1:07 [khugepaged]
root        213  0.0  0.0      0     0 ?        S<   Nov22   0:00 [crypto]
root        221  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kthrotld]
root        223  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kmpath_rdacd]
root        224  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kaluad]
root        227  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kpsmoused]
root        228  0.0  0.0      0     0 ?        S    Nov22   0:05 [kworker/5:1]
root        230  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ipv6_addrconf]
root        231  0.0  0.0      0     0 ?        S    Nov22   0:06 [kworker/9:1]
root        244  0.0  0.0      0     0 ?        S<   Nov22   0:00 [deferwq]
root        284  0.0  0.0      0     0 ?        S    Nov22   0:00 [kauditd]
root        304  0.0  0.0      0     0 ?        S    Nov22   0:03 [kworker/6:1]
root        313  0.0  0.0      0     0 ?        S    Nov22   0:03 [kworker/10:1]
root        458  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/1:1]
root        459  0.0  0.0      0     0 ?        S    Nov22   0:03 [kworker/8:1]
root        460  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/13:1]
root        461  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/16:1]
root        462  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/15:1]
root        463  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/19:1]
root        464  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/21:1]
root        465  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/7:1]
root        467  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/17:1]
root        505  0.0  0.0      0     0 ?        S<   Nov22   0:00 [nfit]
root        528  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_0]
root        529  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_0]
root        530  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ata_sff]
root        534  0.0  0.0      0     0 ?        S    Nov22   0:06 [kworker/0:3]
root        535  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bnxt_pf_wq]
root        536  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_1]
root        537  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_1]
root        538  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_2]
root        539  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_2]
root        540  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_3]
root        541  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_3]
root        542  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_4]
root        543  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_4]
root        544  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_5]
root        545  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_5]
root        546  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_6]
root        547  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_6]
root        554  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ttm_swap]
root        555  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_7]
root        561  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/33:1]
root        565  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_7]
root        566  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_8]
root        567  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_8]
root        569  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_9]
root        570  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_9]
root        571  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_10]
root        572  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_10]
root        573  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_11]
root        574  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_11]
root        575  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_12]
root        576  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_12]
root        578  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_13]
root        579  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_13]
root        581  0.0  0.0      0     0 ?        S    Nov22   0:00 [scsi_eh_14]
root        582  0.0  0.0      0     0 ?        S<   Nov22   0:00 [scsi_tmf_14]
root        593  0.0  0.0      0     0 ?        S<   Nov22   0:00 [poll_megasas0_s]
root        632  0.0  0.0      0     0 ?        S    Nov22   0:05 [kworker/23:1]
root        633  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/18:2]
root        649  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/24:1]
root        695  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kdmflush]
root        696  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        701  0.0  0.0      0     0 ?        S    Nov22   0:03 [kworker/22:1]
root        704  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/25:1]
root        706  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/31:1]
root        707  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/29:1]
root        710  0.0  0.0      0     0 ?        S    Nov22   0:04 [kworker/20:1]
root        711  0.0  0.0      0     0 ?        S    Nov22   0:03 [kworker/32:1]
root        714  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/26:1]
root        715  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/35:1]
root        717  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kdmflush]
root        718  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        733  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        734  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfsalloc]
root        735  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs_mru_cache]
root        736  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-buf/dm-0]
root        737  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-data/dm-0]
root        738  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-conv/dm-0]
root        739  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-cil/dm-0]
root        740  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-reclaim/dm-]
root        741  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-log/dm-0]
root        742  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-eofblocks/d]
root        743  0.0  0.0      0     0 ?        S    Nov22   0:26 [xfsaild/dm-0]
root        804  0.0  0.0      0     0 ?        S    Nov22   0:01 [kworker/27:2]
root        829  0.0  0.0  55440 16084 ?        Ss   Nov22   0:04 /usr/lib/systemd/systemd-journald
root        838  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/7:2]
root        851  0.0  0.0 198572  3388 ?        Ss   Nov22   0:00 /usr/sbin/lvmetad -f
root        875  0.0  0.0  50540  2596 ?        Ss   Nov22   0:02 /usr/lib/systemd/systemd-udevd
root        963  0.0  0.0      0     0 ?        S    Nov22   0:00 [irq/92-mei_me]
root       1002  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kvm-irqfd-clean]
root       1005  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ib-comp-wq]
root       1006  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/u523:0]
root       1007  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/u524:0]
root       1008  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/u525:0]
root       1009  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ib-comp-unb-wq]
root       1010  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ib_mcast]
root       1011  0.0  0.0      0     0 ?        S<   Nov22   0:00 [ib_nl_sa_wq]
root       1012  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bnxt_re]
root       1020  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/13:2]
root       1046  0.0  0.0      0     0 ?        S    Nov22   0:02 [kworker/28:2]
root       1055  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-buf/sda2]
root       1056  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-data/sda2]
root       1057  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-conv/sda2]
root       1058  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-cil/sda2]
root       1059  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-reclaim/sda]
root       1060  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-log/sda2]
root       1061  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xfs-eofblocks/s]
root       1062  0.0  0.0      0     0 ?        S    Nov22   0:00 [xfsaild/sda2]
root       1169  0.0  0.0      0     0 ?        S<   Nov22   0:00 [rdma_cm]
root       1206  0.0  0.0      0     0 ?        S<   Nov22   0:00 [srp_remove]
root       1211  0.0  0.0      0     0 ?        S<   Nov22   0:00 [target_completi]
root       1212  0.0  0.0      0     0 ?        S<   Nov22   0:00 [tmr-rd_mcp]
root       1213  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xcopy_wq]
root       1218  0.0  0.0      0     0 ?        S<   Nov22   0:00 [iscsi_eh]
root       1225  0.0  0.0  57628  1088 ?        S<sl Nov22   0:02 /sbin/auditd
root       1227  0.0  0.0  84556   916 ?        S<sl Nov22   0:03 /sbin/audispd
root       1229  0.0  0.0  55620  1412 ?        S<   Nov22   0:01 /usr/sbin/sedispatch
root       1258  0.0  0.0      0     0 ?        S<   Nov22   0:00 [rpciod]
root       1259  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xprtiod]
root       1261  0.0  0.0      0     0 ?        S<   Nov22   0:00 [xprtrdma_receiv]
rpc        1271  0.0  0.0  69256  1424 ?        Ss   Nov22   0:01 /sbin/rpcbind -w
root       1278  0.0  0.0  21796  1440 ?        Ss   Nov22   6:28 /usr/sbin/irqbalance --foreground
polkitd    1305  0.0  0.0 618672 13636 ?        Ssl  Nov22   0:05 /usr/lib/polkit-1/polkitd --no-debug
root       1306  0.0  0.0 201428  1260 ?        Ssl  Nov22   0:00 /usr/sbin/gssproxy -D
libstor+   1308  0.0  0.0  12828   948 ?        Ss   Nov22   0:01 /usr/bin/lsmd -d
root       1313  0.0  0.0  90568  3240 ?        Ss   Nov22   1:04 /sbin/rngd -f
root       1316  0.0  0.0 430628  5664 ?        Ssl  Nov22   0:02 /usr/sbin/ModemManager
root       1317  0.0  0.0 232608  5916 ?        Ss   Nov22   0:00 /usr/sbin/abrtd -d -s
root       1321  0.0  0.0 225840  4824 ?        Ss   Nov22   0:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
dbus       1326  0.0  0.0  64708  2800 ?        Ss   Nov22   0:16 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       1357  0.0  0.0 225840  4824 ?        Ss   Nov22   0:00 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root       1362  0.0  0.0  52932  2840 ?        Ss   Nov22   0:00 /usr/sbin/smartd -n -q never
ntp        1372  0.0  0.0  32064  2176 ?        Ss   Nov22   0:01 /usr/sbin/ntpd -u ntp:ntp -g
avahi      1377  0.0  0.0  66512  2340 ?        Ss   Nov22   0:01 avahi-daemon: running [gpu01.local]
avahi      1386  0.0  0.0  66388   420 ?        S    Nov22   0:00 avahi-daemon: chroot helper
root       1408  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/15:2]
root       1419  0.0  0.0  10860   296 ?        Ss   Nov22   0:00 /usr/sbin/mcelog --ignorenodev --daemon --syslog
root       1434  0.0  0.0 120048  1368 ?        S    Nov22   0:23 /bin/bash /usr/sbin/ksmtuned
root       1531  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/10:2]
root       1639  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/0:1H]
root       1723  0.0  0.0 578532 19740 ?        Ssl  Nov22   1:10 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       1728  0.0  0.0 114996  4396 ?        Ss   Nov22   0:00 /usr/sbin/sshd -D
